id,ident,type,name,municipality,iso_country,iso_region,iata_code,icao_code,latitude_deg,longitude_deg
4212,LFRH,medium_airport,Lorient South Brittany (Bretagne Sud) Airport,Lorient/Lann/Bihoué,FR,FR-BRE,LRT,LFRH,47.760601,-3.44
4155,LFML,large_airport,Marseille Provence Airport,"Marignane, Bouches-du-Rhône",FR,FR-PAC,MRS,LFML,43.438088,5.2125
4161,LFMT,large_airport,Montpellier-Méditerranée Airport,Montpellier/Méditerranée,FR,FR-OCC,MPL,LFMT,43.576199,3.96301
4221,LFRS,medium_airport,Nantes Atlantique Airport,Nantes,FR,FR-PDL,NTE,LFRS,47.153198,-1.61073
4156,LFMN,large_airport,Nice-Côte d'Azur Airport,"Nice, Alpes-Maritimes",FR,FR-PAC,NCE,LFMN,43.658401,7.21587
4242,LFTW,medium_airport,Nîmes-Arles-Camargue Airport,Nîmes/Garons,FR,FR-OCC,FNI,LFTW,43.757401,4.41635
4183,LFPB,large_airport,Paris-Le Bourget International Airport,Paris,FR,FR-IDF,LBG,LFPB,48.962276,2.436539
4189,LFPO,large_airport,Paris-Orly Airport,"Paris (Orly, Val-de-Marne)",FR,FR-IDF,ORY,LFPO,48.729499,2.358963
4185,LFPG,large_airport,Charles de Gaulle International Airport,"Paris (Roissy-en-France, Val-d'Oise)",FR,FR-IDF,CDG,LFPG,49.00896,2.554117
4071,LFBP,medium_airport,Pau Pyrénées Airport,Pau/Pyrénées (Uzein),FR,FR-NAQ,PUF,LFBP,43.380001,-0.418611
4158,LFMP,medium_airport,Perpignan-Rivesaltes (Llabanère) Airport,Perpignan/Rivesaltes,FR,FR-OCC,PGF,LFMP,42.740398,2.87067
4065,LFBI,medium_airport,Poitiers-Biard Airport,Poitiers/Biard,FR,FR-NAQ,PIS,LFBI,46.5877,0.306666
4086,LFCR,medium_airport,Rodez–Aveyron Airport,Rodez/Marcillac,FR,FR-OCC,RDZ,LFCR,44.407902,2.48267
4218,LFRN,medium_airport,Rennes-Saint-Jacques Airport,"Saint-Jacques-de-la-Lande, Ille-et-Vilaine",FR,FR-BRE,RNS,LFRN,48.0695,-1.73479
4225,LFRZ,medium_airport,Saint-Nazaire-Montoir Airport,Saint-Nazaire/Montoir,FR,FR-PDL,SNR,LFRZ,47.31142,-2.152634
4238,LFST,large_airport,Strasbourg Airport,Strasbourg,FR,FR-GES,SXB,LFST,48.5383,7.62823
4073,LFBT,medium_airport,Tarbes-Lourdes-Pyrénées Airport,Tarbes/Lourdes/Pyrénées,FR,FR-OCC,LDE,LFBT,43.178699,-0.006439
4070,LFBO,large_airport,Toulouse-Blagnac Airport,Toulouse/Blagnac,FR,FR-OCC,TLS,LFBO,43.629101,1.36382
4179,LFOT,medium_airport,Tours Val de Loire Airport,"Tours, Indre-et-Loire",FR,FR-CVL,TUF,LFOT,47.432201,0.727606
2459,EGPD,large_airport,Aberdeen International Airport,Aberdeen,GB,GB-SCT,ABZ,EGPD,57.2019,-2.19778
2469,EGPU,medium_airport,Tiree Airport,"Balemartine, Argyll and Bute",GB,GB-SCT,TRE,EGPU,56.499199,-6.86917
2465,EGPL,medium_airport,Benbecula Airport,Balivanich,GB,GB-SCT,BEB,EGPL,57.481098,-7.36278
2385,EGAA,large_airport,Belfast International Airport,Belfast,GB,GB-NIR,BFS,EGAA,54.6575012207,-6.2158298492399995
2387,EGAC,medium_airport,George Best Belfast City Airport,Belfast,GB,GB-NIR,BHD,EGAC,54.618099,-5.8725
2389,EGBB,large_airport,Birmingham Airport,"Birmingham, West Midlands",GB,GB-ENG,BHX,EGBB,52.453899,-1.74803
2421,EGHH,medium_airport,Bournemouth Airport,Bournemouth,GB,GB-ENG,BOH,EGHH,50.780483,-1.839576
2417,EGGD,large_airport,Bristol Airport,Bristol,GB,GB-ENG,BRS,EGGD,51.382326,-2.716453
2411,EGEC,medium_airport,Campbeltown Airport,Campbeltown,GB,GB-SCT,CAL,EGEC,55.437199,-5.68639
2415,EGFF,large_airport,Cardiff International Airport,Cardiff,GB,GB-WLS,CWL,EGFF,51.396702,-3.34333
2449,EGNV,medium_airport,Teesside International Airport,"Darlington, Durham",GB,GB-ENG,MME,EGNV,54.509201,-1.42941
2388,EGAE,medium_airport,City of Derry Airport,"Derry, Derry and Strabane",GB,GB-NIR,LDY,EGAE,55.042801,-7.16111
