route_avion,origin_iata,destination_iata,origine_avion,destination_avion,origin_country,destination_country,distance_avion,airline_count,unmatched_reason
CRL-PUY,CRL,PUY,Charleroi,Pula,BE,HR,939.6,1,no_country_pair_in_rail_dataset
CRL-REU,CRL,REU,Charleroi,Reus,BE,ES,1066.4,1,no_country_pair_in_rail_dataset
CRL-RDZ,CRL,RDZ,Charleroi,Rodez/Marcillac,BE,FR,689.3,1,no_country_pair_in_rail_dataset
CRL-SDR,CRL,SDR,Charleroi,Santander,BE,ES,1002.2,1,no_country_pair_in_rail_dataset
CRL-VLC,CRL,VLC,Charleroi,Valencia,BE,ES,1279.8,1,no_country_pair_in_rail_dataset
CRL-VNO,CRL,VNO,Charleroi,Vilnius,BE,LT,1476.2,1,no_country_pair_in_rail_dataset
CRL-WAW,CRL,WAW,Charleroi,Warsaw,BE,PL,1160.2,1,no_country_pair_in_rail_dataset
CRL-ZAD,CRL,ZAD,Charleroi,Zadar,BE,HR,1082.6,1,no_country_pair_in_rail_dataset
CRL-ZAZ,CRL,ZAZ,Charleroi,Zaragoza,BE,ES,1065.4,1,no_country_pair_in_rail_dataset
CRL-LJU,CRL,LJU,Charleroi,Zgornji Brnik,BE,SI,875.3,1,no_country_pair_in_rail_dataset
LGG-AJA,LGG,AJA,Grâce-Hollogne,Ajaccio,BE,FR,1002.6,2,no_country_pair_in_rail_dataset
LGG-BIA,LGG,BIA,Grâce-Hollogne,Bastia,BE,FR,950.2,2,no_country_pair_in_rail_dataset
LGG-PMI,LGG,PMI,Grâce-Hollogne,Palma de Mallorca,BE,ES,1250.7,1,no_country_pair_in_rail_dataset
BRU-ALC,BRU,ALC,Zaventem,Alicante,BE,ES,1458.0,4,no_country_pair_in_rail_dataset
BRU-BCN,BRU,BCN,Zaventem,Barcelona,BE,ES,1083.8,5,no_country_pair_in_rail_dataset
BRU-BIA,BRU,BIA,Zaventem,Bastia,BE,FR,1002.9,1,no_country_pair_in_rail_dataset
BRU-BEG,BRU,BEG,Zaventem,Belgrade,BE,RS,1356.6,1,no_country_pair_in_rail_dataset
BRU-BIO,BRU,BIO,Zaventem,Bilbao,BE,ES,1012.5,2,no_country_pair_in_rail_dataset
BRU-BLL,BRU,BLL,Zaventem,Billund,BE,DK,620.8,1,no_country_pair_in_rail_dataset
BRU-BHX,BRU,BHX,Zaventem,"Birmingham, West Midlands",BE,GB,462.9,2,no_country_pair_in_rail_dataset
BRU-BOD,BRU,BOD,Zaventem,Bordeaux,BE,FR,778.3,1,no_country_pair_in_rail_dataset
BRU-BRS,BRU,BRS,Zaventem,Bristol,BE,GB,505.0,1,no_country_pair_in_rail_dataset
BRU-BUD,BRU,BUD,Zaventem,Budapest,BE,HU,1139.3,1,no_country_pair_in_rail_dataset
BRU-BSL,BRU,BSL,Zaventem,Bâle / Mulhouse,BE,FR,428.0,3,no_country_pair_in_rail_dataset
BRU-LYS,BRU,LYS,Zaventem,"Colombier-Saugnieu, Rhône",BE,FR,577.2,4,no_country_pair_in_rail_dataset
BRU-CPH,BRU,CPH,Zaventem,Copenhagen,BE,DK,754.4,4,no_country_pair_in_rail_dataset
BRU-ORK,BRU,ORK,Zaventem,Cork,BE,IE,905.5,1,no_country_pair_in_rail_dataset
BRU-DUB,BRU,DUB,Zaventem,Dublin,BE,IE,784.0,1,no_country_pair_in_rail_dataset
BRU-DBV,BRU,DBV,Zaventem,Dubrovnik,BE,HR,1397.0,1,no_country_pair_in_rail_dataset
BRU-EDI,BRU,EDI,Zaventem,Edinburgh,BE,GB,764.7,1,no_country_pair_in_rail_dataset
BRU-FRA,BRU,FRA,Zaventem,Frankfurt am Main,BE,DE,304.3,3,no_country_pair_in_rail_dataset
BRU-GDN,BRU,GDN,Zaventem,Gdańsk,BE,PL,1017.4,1,no_country_pair_in_rail_dataset
BRU-GVA,BRU,GVA,Zaventem,Geneva,BE,CH,532.1,4,no_country_pair_in_rail_dataset
BRU-GOT,BRU,GOT,Zaventem,Göteborg,BE,SE,905.0,3,no_country_pair_in_rail_dataset
BRU-HAM,BRU,HAM,Zaventem,Hamburg,BE,DE,481.8,2,no_country_pair_in_rail_dataset
BRU-HAJ,BRU,HAJ,Zaventem,Hannover,BE,DE,398.2,3,no_country_pair_in_rail_dataset
BRU-IBZ,BRU,IBZ,Zaventem,Ibiza (Eivissa),BE,ES,1359.5,3,no_country_pair_in_rail_dataset
BRU-LGW,BRU,LGW,Zaventem,London,BE,GB,327.7,1,no_country_pair_in_rail_dataset
BRU-LHR,BRU,LHR,Zaventem,London,BE,GB,350.3,3,no_country_pair_in_rail_dataset
BRU-MAD,BRU,MAD,Zaventem,Madrid,BE,ES,1313.8,5,no_country_pair_in_rail_dataset
BRU-MAH,BRU,MAH,Zaventem,Mahón (Maó),BE,ES,1227.6,1,no_country_pair_in_rail_dataset
BRU-MAN,BRU,MAN,Zaventem,"Manchester, Greater Manchester",BE,GB,535.7,2,no_country_pair_in_rail_dataset
BRU-MRS,BRU,MRS,Zaventem,"Marignane, Bouches-du-Rhône",BE,FR,831.7,1,no_country_pair_in_rail_dataset
BRU-MUC,BRU,MUC,Zaventem,Munich,BE,DE,597.0,2,no_country_pair_in_rail_dataset
BRU-NTE,BRU,NTE,Zaventem,Nantes,BE,FR,608.9,2,no_country_pair_in_rail_dataset
BRU-NCL,BRU,NCL,Zaventem,"Newcastle upon Tyne, Tyne and Wear",BE,GB,618.0,2,no_country_pair_in_rail_dataset
BRU-NCE,BRU,NCE,Zaventem,"Nice, Alpes-Maritimes",BE,FR,831.2,2,no_country_pair_in_rail_dataset
BRU-EMA,BRU,EMA,Zaventem,"Nottingham, Leicestershire",BE,GB,452.9,1,no_country_pair_in_rail_dataset
BRU-OSL,BRU,OSL,Zaventem,Oslo (Gardermoen),BE,NO,1112.6,2,no_country_pair_in_rail_dataset
BRU-PMI,BRU,PMI,Zaventem,Palma de Mallorca,BE,ES,1269.3,4,no_country_pair_in_rail_dataset
BRU-CDG,BRU,CDG,Zaventem,"Paris (Roissy-en-France, Val-d'Oise)",BE,FR,251.7,2,no_country_pair_in_rail_dataset
BRU-OPO,BRU,OPO,Zaventem,Porto,BE,PT,1473.4,5,no_country_pair_in_rail_dataset
BRU-REU,BRU,REU,Zaventem,Reus,BE,ES,1114.1,1,no_country_pair_in_rail_dataset
BRU-RIX,BRU,RIX,Zaventem,Riga,BE,LV,1434.1,2,no_country_pair_in_rail_dataset
BRU-SCQ,BRU,SCQ,Zaventem,Santiago de Compostela,BE,ES,1320.5,2,no_country_pair_in_rail_dataset
BRU-ARN,BRU,ARN,Zaventem,Stockholm,BE,SE,1287.9,1,no_country_pair_in_rail_dataset
BRU-BMA,BRU,BMA,Zaventem,Stockholm,BE,SE,1266.3,2,no_country_pair_in_rail_dataset
BRU-SXB,BRU,SXB,Zaventem,Strasbourg,BE,FR,346.5,2,no_country_pair_in_rail_dataset
BRU-STR,BRU,STR,Zaventem,Stuttgart,BE,DE,419.5,1,no_country_pair_in_rail_dataset
BRU-LDE,BRU,LDE,Zaventem,Tarbes/Lourdes/Pyrénées,BE,FR,923.3,1,no_country_pair_in_rail_dataset
BRU-TIV,BRU,TIV,Zaventem,Tivat,BE,ME,1435.6,1,no_country_pair_in_rail_dataset
BRU-TLS,BRU,TLS,Zaventem,Toulouse/Blagnac,BE,FR,842.0,2,no_country_pair_in_rail_dataset
BRU-VLC,BRU,VLC,Zaventem,Valencia,BE,ES,1326.5,3,no_country_pair_in_rail_dataset
BRU-ZAG,BRU,ZAG,Zaventem,Velika Gorica,BE,HR,1029.0,2,no_country_pair_in_rail_dataset
BRU-VIE,BRU,VIE,Zaventem,Vienna,BE,AT,924.9,2,no_country_pair_in_rail_dataset
BRU-VNO,BRU,VNO,Zaventem,Vilnius,BE,LT,1453.6,4,no_country_pair_in_rail_dataset
BRU-WAW,BRU,WAW,Zaventem,Warsaw,BE,PL,1146.2,1,no_country_pair_in_rail_dataset
BRU-WRO,BRU,WRO,Zaventem,Wrocław,BE,PL,866.8,1,no_country_pair_in_rail_dataset
BRU-LJU,BRU,LJU,Zaventem,Zgornji Brnik,BE,SI,898.3,2,no_country_pair_in_rail_dataset
BRU-ZRH,BRU,ZRH,Zaventem,Zurich,BE,CH,483.4,2,no_country_pair_in_rail_dataset
SOF-BEG,SOF,BEG,Sofia,Belgrade,BG,RS,343.5,1,no_country_pair_in_rail_dataset
SOF-BLQ,SOF,BLQ,Sofia,Bologna,BG,IT,996.6,1,no_country_pair_in_rail_dataset
SOF-MXP,SOF,MXP,Sofia,Ferno (VA),BG,IT,1214.3,2,no_country_pair_in_rail_dataset
SOF-FRA,SOF,FRA,Sofia,Frankfurt am Main,BG,DE,1397.5,3,no_country_pair_in_rail_dataset
SOF-HHN,SOF,HHN,Sofia,Frankfurt am Main (Lautzenhausen),BG,DE,1474.8,1,no_country_pair_in_rail_dataset
SOF-MUC,SOF,MUC,Sofia,Munich,BG,DE,1101.2,1,no_country_pair_in_rail_dataset
SOF-BGY,SOF,BGY,Sofia,Orio al Serio (BG),BG,IT,1140.4,1,no_country_pair_in_rail_dataset
SOF-OTP,SOF,OTP,Sofia,Otopeni,BG,RO,300.3,3,no_country_pair_in_rail_dataset
SOF-PRG,SOF,PRG,Sofia,Prague,BG,CZ,1080.5,2,no_country_pair_in_rail_dataset
SOF-FCO,SOF,FCO,Sofia,Rome,BG,IT,923.7,3,no_country_pair_in_rail_dataset
SOF-ATH,SOF,ATH,Sofia,Spata-Artemida,BG,GR,531.2,4,no_country_pair_in_rail_dataset
SOF-VIE,SOF,VIE,Sofia,Vienna,BG,AT,804.5,2,no_country_pair_in_rail_dataset
SOF-WAW,SOF,WAW,Sofia,Warsaw,BG,PL,1068.8,2,no_country_pair_in_rail_dataset
SOF-ZRH,SOF,ZRH,Sofia,Zurich,BG,CH,1279.3,1,no_country_pair_in_rail_dataset
VAR-BEG,VAR,BEG,Varna,Belgrade,BG,RS,626.0,1,no_country_pair_in_rail_dataset
VAR-VIE,VAR,VIE,Varna,Vienna,BG,AT,1027.6,1,no_country_pair_in_rail_dataset
MSQ-BUD,MSQ,BUD,Minsk,Budapest,BY,HU,946.5,1,no_country_pair_in_rail_dataset
MSQ-FRA,MSQ,FRA,Minsk,Frankfurt am Main,BY,DE,1397.1,2,no_country_pair_in_rail_dataset
MSQ-HAJ,MSQ,HAJ,Minsk,Hannover,BY,DE,1230.0,1,no_country_pair_in_rail_dataset
MSQ-HEL,MSQ,HEL,Minsk,Helsinki (Vantaa),BY,FI,738.6,2,no_country_pair_in_rail_dataset
MSQ-IST,MSQ,IST,Minsk,Istanbul,BY,TR,1403.5,2,no_country_pair_in_rail_dataset
MSQ-KGD,MSQ,KGD,Minsk,Kaliningrad,BY,RU,494.3,1,no_country_pair_in_rail_dataset
MSQ-KRR,MSQ,KRR,Minsk,Krasnodar,BY,RU,1268.5,1,no_country_pair_in_rail_dataset
MSQ-DME,MSQ,DME,Minsk,Moscow,BY,RU,656.3,3,no_country_pair_in_rail_dataset
