route_avion,origin_iata,destination_iata,origine_avion,destination_avion,origin_country,destination_country,distance_avion,airline_count,route_train_candidate,origin_train,destination_train,distance_train,duration_train,train_type,weekly_frequency,estimated_co2_saving_kg,substitution_potential,match_score,match_method
BMA-SDL,BMA,SDL,Stockholm,Sundsvall/ Härnösand,SE,SE,353.9,2,back_on_track_SJ 1,Stockholm C,Malmö C,614.0,462.0,night,7,92.1,fort_potentiel,88.088,country_city_distance
ARN-TOS,ARN,TOS,Stockholm,Tromsø,SE,NO,1116.8,1,back_on_track_SJ 94,Stockholm C,Narvik,1456.0,1105.0,night,7,218.4,faible_potentiel,92.134,country_city_distance
ARN-UME,ARN,UME,Stockholm,Umeå,SE,SE,477.0,2,back_on_track_SJ 1,Stockholm C,Malmö C,614.0,462.0,night,7,92.1,fort_potentiel,101.274,country_city_distance
BMA-UME,BMA,UME,Stockholm,Umeå,SE,SE,508.7,2,back_on_track_SJ 1,Stockholm C,Malmö C,614.0,462.0,night,7,92.1,fort_potentiel,103.28,country_city_distance
ARN-VIE,ARN,VIE,Stockholm,Vienna,SE,AT,1286.0,4,back_on_track_ST 305,Malmö C,Innsbruck Hbf,1847.0,1272.0,night,1,277.05,faible_potentiel,73.581,country_distance
ARN-VHM,ARN,VHM,Stockholm,Vilhelmina,SE,SE,551.2,2,back_on_track_SJ 1,Stockholm C,Malmö C,614.0,462.0,night,7,92.1,fort_potentiel,103.681,country_city_distance
BMA-VXO,BMA,VXO,Stockholm,Växjö,SE,SE,329.0,2,back_on_track_SJ 1,Stockholm C,Malmö C,614.0,462.0,night,7,92.1,fort_potentiel,86.343,country_city_distance
BMA-AGH,BMA,AGH,Stockholm,Ängelholm,SE,SE,454.3,2,back_on_track_SJ 1,Stockholm C,Malmö C,614.0,462.0,night,7,92.1,fort_potentiel,99.837,country_city_distance
SDL-BMA,SDL,BMA,Sundsvall/ Härnösand,Stockholm,SE,SE,353.9,2,back_on_track_SJ 2,Malmö C,Stockholm C,614.0,463.0,night,7,92.1,fort_potentiel,88.088,country_city_distance
UME-ARN,UME,ARN,Umeå,Stockholm,SE,SE,477.0,2,back_on_track_SJ 2,Malmö C,Stockholm C,614.0,463.0,night,7,92.1,fort_potentiel,101.274,country_city_distance
UME-BMA,UME,BMA,Umeå,Stockholm,SE,SE,508.7,2,back_on_track_SJ 2,Malmö C,Stockholm C,614.0,463.0,night,7,92.1,fort_potentiel,103.28,country_city_distance
VHM-ARN,VHM,ARN,Vilhelmina,Stockholm,SE,SE,551.2,2,back_on_track_SJ 2,Malmö C,Stockholm C,614.0,463.0,night,7,92.1,fort_potentiel,103.681,country_city_distance
VBY-MMX,VBY,MMX,Visby,Malmö,SE,SE,385.2,2,back_on_track_SJ 1,Stockholm C,Malmö C,614.0,462.0,night,7,92.1,fort_potentiel,90.026,country_city_distance
VXO-ARN,VXO,ARN,Växjö,Stockholm,SE,SE,355.5,2,back_on_track_SJ 2,Malmö C,Stockholm C,614.0,463.0,night,7,92.1,fort_potentiel,89.821,country_city_distance
VXO-BMA,VXO,BMA,Växjö,Stockholm,SE,SE,329.0,2,back_on_track_SJ 2,Malmö C,Stockholm C,614.0,463.0,night,7,92.1,fort_potentiel,86.343,country_city_distance
AGH-BMA,AGH,BMA,Ängelholm,Stockholm,SE,SE,454.3,2,back_on_track_SJ 2,Malmö C,Stockholm C,614.0,463.0,night,7,92.1,fort_potentiel,99.837,country_city_distance
