route_pair,origin_iata,destination_iata,origin_city,destination_city,origin_country,destination_country,origin_latitude,origin_longitude,destination_latitude,destination_longitude,air_distance_km,airline_count,airlines,equipment
ANR-LCY,ANR,LCY,Antwerp,London,BE,GB,51.190667,4.463153,51.505299,0.055278,308.1,2,"AF,WX",F50
CRL-AHO,CRL,AHO,Charleroi,Alghero,BE,IT,50.461963,4.459562,40.632099,8.29077,1132.6,1,FR,738
CRL-ALC,CRL,ALC,Charleroi,Alicante,BE,ES,50.461963,4.459562,38.2822,-0.558156,1411.0,1,FR,738
CRL-LEI,CRL,LEI,Charleroi,Almería,BE,ES,50.461963,4.459562,36.843899,-2.3701,1609.2,1,FR,738
CRL-KRK,CRL,KRK,Charleroi,Balice,BE,PL,50.461963,4.459562,50.077702,19.7848,1088.1,1,FR,738
CRL-BCN,CRL,BCN,Charleroi,Barcelona,BE,ES,50.461963,4.459562,41.2971,2.07846,1035.5,1,FR,738
CRL-BRI,CRL,BRI,Charleroi,Bari,BE,IT,50.461963,4.459562,41.138901,16.760599,1404.9,1,FR,738
CRL-BEG,CRL,BEG,Charleroi,Belgrade,BE,RS,50.461963,4.459562,44.818401,20.309099,1339.3,1,W6,320
CRL-EGC,CRL,EGC,Charleroi,Bergerac,BE,FR,50.461963,4.459562,44.825298,0.518611,692.6,1,FR,738
CRL-BIQ,CRL,BIQ,Charleroi,Biarritz,BE,FR,50.461963,4.459562,43.468372,-1.523223,899.8,1,FR,738
CRL-BLQ,CRL,BLQ,Charleroi,Bologna,BE,IT,50.461963,4.459562,44.5354,11.2887,834.4,1,FR,738
CRL-BOD,CRL,BOD,Charleroi,Bordeaux,BE,FR,50.461963,4.459562,44.82865,-0.715356,736.2,1,FR,738
CRL-BTS,CRL,BTS,Charleroi,Bratislava,BE,SK,50.461963,4.459562,48.1702,17.2127,957.5,1,FR,738
CRL-BDS,CRL,BDS,Charleroi,Brindisi,BE,IT,50.461963,4.459562,40.6576,17.947001,1509.1,1,FR,738
CRL-BUD,CRL,BUD,Charleroi,Budapest,BE,HU,50.461963,4.459562,47.43018,19.262393,1130.2,2,"FR,W6","320,738"
CRL-CAG,CRL,CAG,Charleroi,Cagliari,BE,IT,50.461963,4.459562,39.251499,9.05428,1297.4,1,FR,738
