airline_iata,airline_id,origin_iata,origin_airport_id,destination_iata,destination_airport_id,codeshare,stops,equipment,origin_name,origin_city,origin_country,origin_latitude,origin_longitude,destination_name,destination_city,destination_country,destination_latitude,destination_longitude,air_distance_km,route_pair
3L,2916.0,EBA,1558.0,ACH,1679.0,,0,DH3,Marina di Campo Airport,Campo nell'Elba (LI),IT,42.760871,10.239811,Sankt Gallen Altenrhein Airport,St. Gallen,CH,47.485001,9.56077,528.0,EBA-ACH
3L,2916.0,EBA,1558.0,FDH,382.0,,0,DH3,Marina di Campo Airport,Campo nell'Elba (LI),IT,42.760871,10.239811,Bodensee Airport Friedrichshafen,Friedrichshafen,DE,47.671299,9.51149,549.0,EBA-FDH
3L,2916.0,EBA,1558.0,MUC,346.0,,0,DH3,Marina di Campo Airport,Campo nell'Elba (LI),IT,42.760871,10.239811,Munich Airport,Munich,DE,48.353802,11.7861,633.4,EBA-MUC
3L,2916.0,EBA,1558.0,ZRH,1678.0,,0,DH3,Marina di Campo Airport,Campo nell'Elba (LI),IT,42.760871,10.239811,Zürich Airport,Zurich,CH,47.458056,8.548056,538.9,EBA-ZRH
3L,2916.0,FDH,382.0,DUS,345.0,,0,DH3,Bodensee Airport Friedrichshafen,Friedrichshafen,DE,47.671299,9.51149,Düsseldorf Airport,Düsseldorf,DE,51.289501,6.76678,448.5,FDH-DUS
3L,2916.0,FDH,382.0,EBA,1558.0,,0,DH3,Bodensee Airport Friedrichshafen,Friedrichshafen,DE,47.671299,9.51149,Marina di Campo Airport,Campo nell'Elba (LI),IT,42.760871,10.239811,549.0,FDH-EBA
3L,2916.0,FDH,382.0,HAM,342.0,,0,AT7,Bodensee Airport Friedrichshafen,Friedrichshafen,DE,47.671299,9.51149,Hamburg Helmut Schmidt Airport,Hamburg,DE,53.630402,9.98823,663.5,FDH-HAM
3L,2916.0,FDH,382.0,OLB,1520.0,,0,AT7,Bodensee Airport Friedrichshafen,Friedrichshafen,DE,47.671299,9.51149,Olbia Costa Smeralda Airport,Olbia (SS),IT,40.898953,9.518457,753.1,FDH-OLB
3L,2916.0,FDH,382.0,ZAD,1209.0,,0,AT7,Bodensee Airport Friedrichshafen,Friedrichshafen,DE,47.671299,9.51149,Zadar Airport,Zadar,HR,44.096986,15.353565,601.7,FDH-ZAD
3L,2916.0,FMM,3986.0,NAP,1561.0,,0,AT7,Memmingen Allgau Airport,Memmingen,DE,47.988092,10.238248,Naples International Airport,Napoli,IT,40.886002,14.2908,852.4,FMM-NAP
3L,2916.0,GRZ,1609.0,ZRH,1678.0,,0,DH3,Graz Airport,Feldkirchen bei Graz,AT,46.9911,15.4396,Zürich Airport,Zurich,CH,47.458056,8.548056,522.8,GRZ-ZRH
3L,2916.0,HAM,342.0,FDH,382.0,,0,AT7,Hamburg Helmut Schmidt Airport,Hamburg,DE,53.630402,9.98823,Bodensee Airport Friedrichshafen,Friedrichshafen,DE,47.671299,9.51149,663.5,HAM-FDH
3L,2916.0,MUC,346.0,EBA,1558.0,,0,DH3,Munich Airport,Munich,DE,48.353802,11.7861,Marina di Campo Airport,Campo nell'Elba (LI),IT,42.760871,10.239811,633.4,MUC-EBA
3L,2916.0,NAP,1561.0,FMM,3986.0,,0,AT7,Naples International Airport,Napoli,IT,40.886002,14.2908,Memmingen Allgau Airport,Memmingen,DE,47.988092,10.238248,852.4,NAP-FMM
3L,2916.0,OLB,1520.0,FDH,382.0,,0,AT7,Olbia Costa Smeralda Airport,Olbia (SS),IT,40.898953,9.518457,Bodensee Airport Friedrichshafen,Friedrichshafen,DE,47.671299,9.51149,753.1,OLB-FDH
3L,2916.0,SZG,1612.0,ZRH,1678.0,,0,DH3,Salzburg Airport,Salzburg,AT,47.793301,13.0043,Zürich Airport,Zurich,CH,47.458056,8.548056,336.0,SZG-ZRH
3L,2916.0,ZAD,1209.0,FDH,382.0,,0,AT7,Zadar Airport,Zadar,HR,44.096986,15.353565,Bodensee Airport Friedrichshafen,Friedrichshafen,DE,47.671299,9.51149,601.7,ZAD-FDH
3L,2916.0,ZRH,1678.0,DRS,338.0,,0,DH3,Zürich Airport,Zurich,CH,47.458056,8.548056,Dresden Airport,Dresden,DE,51.134123,13.767831,556.8,ZRH-DRS
3L,2916.0,ZRH,1678.0,EBA,1558.0,,0,DH3,Zürich Airport,Zurich,CH,47.458056,8.548056,Marina di Campo Airport,Campo nell'Elba (LI),IT,42.760871,10.239811,538.9,ZRH-EBA
3L,2916.0,ZRH,1678.0,GRZ,1609.0,,0,DH3,Zürich Airport,Zurich,CH,47.458056,8.548056,Graz Airport,Feldkirchen bei Graz,AT,46.9911,15.4396,522.8,ZRH-GRZ
3L,2916.0,ZRH,1678.0,SZG,1612.0,,0,DH3,Zürich Airport,Zurich,CH,47.458056,8.548056,Salzburg Airport,Salzburg,AT,47.793301,13.0043,336.0,ZRH-SZG
3R,3545.0,DME,4029.0,EGO,6156.0,,0,SU9,Domodedovo International Airport,Moscow,RU,55.408798,37.9063,Belgorod International Airport,Belgorod,RU,50.643798828125,36.5900993347168,537.1,DME-EGO
