service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
IDFM:TN:49525358,1,1,1,1,0,0,0,20260225,20260324
IDFM:TN:49525370,1,1,1,1,1,0,1,20260225,20260322
IDFM:TN:49525527,1,1,1,1,1,1,0,20260225,20260324
IDFM:TN:49525548,1,1,1,1,1,0,1,20260225,20260324
IDFM:TN:49525616,1,1,1,1,1,1,0,20260225,20260323
IDFM:TN:49525713,0,1,1,1,1,0,0,20260225,20260324
IDFM:TN:49525719,0,0,0,0,1,0,0,20260227,20260320
IDFM:TN:49525724,1,1,1,1,0,0,0,20260225,20260324
IDFM:TN:49525865,1,1,1,1,1,1,1,20260225,20260324
IDFM:TN:49526017,1,1,1,1,1,0,0,20260302,20260320
IDFM:TN:49526031,1,0,0,0,0,0,1,20260301,20260324
IDFM:TN:49526037,0,0,0,0,0,1,1,20260225,20260324
IDFM:TN:49526166,1,1,1,1,1,1,1,20260225,20260323
IDFM:TN:49526197,0,1,1,1,1,1,1,20260225,20260324
IDFM:TN:49526240,1,0,0,0,0,0,0,20260309,20260323
IDFM:TN:49526392,0,1,1,1,1,1,0,20260225,20260321
IDFM:TN:49527388,0,0,0,0,0,0,1,20260301,20260315
IDFM:TN:49527389,1,0,0,0,0,0,0,20260302,20260323
IDFM:TN:49527390,1,0,0,0,0,0,1,20260301,20260323
IDFM:TN:49527459,1,1,1,1,1,0,0,20260225,20260324
IDFM:TN:49527639,0,0,0,0,0,1,1,20260228,20260324
IDFM:TN:49527677,1,0,0,0,0,0,1,20260301,20260324
IDFM:TN:49528329,1,0,0,0,0,0,1,20260301,20260323
IDFM:TN:49528593,0,0,0,0,0,1,1,20260228,20260322
IDFM:TN:49528865,1,1,1,1,1,0,0,20260225,20260324
IDFM:TN:49528938,0,1,1,1,1,1,0,20260303,20260314
IDFM:TN:49529233,0,1,1,1,1,1,0,20260225,20260314
IDFM:TN:49529242,0,1,0,0,0,0,0,20260317,20260324
IDFM:TN:49529496,0,0,0,0,0,1,1,20260228,20260322
IDFM:TN:49529502,0,0,0,0,0,1,1,20260228,20260322
IDFM:TN:49529570,1,0,0,0,0,0,1,20260301,20260323
IDFM:TN:49529907,0,1,1,1,1,1,0,20260225,20260324
IDFM:TN:49530083,0,1,0,0,0,0,0,20260308,20260324
IDFM:TN:49531494,1,1,0,0,0,0,0,20260307,20260324
IDFM:TN:49531851,0,0,0,0,0,1,1,20260228,20260322
IDFM:TN:49531874,1,1,1,1,1,1,1,20260225,20260324
IDFM:TN:49532000,0,1,1,1,1,0,0,20260303,20260324
IDFM:TN:49532121,0,0,0,1,1,0,0,20260226,20260324
IDFM:TN:49532125,1,0,1,0,0,0,0,20260225,20260323
IDFM:TN:49532593,0,0,0,0,0,1,0,20260228,20260321
IDFM:TN:49532704,0,0,0,1,1,0,0,20260305,20260324
IDFM:TN:49532705,1,0,1,0,0,0,0,20260302,20260323
IDFM:TN:49532982,0,0,0,0,0,1,0,20260228,20260321
IDFM:TN:49533766,0,1,1,1,1,1,0,20260303,20260324
IDFM:TN:49533795,0,1,1,1,1,1,0,20260225,20260324
IDFM:TN:49534107,1,0,0,0,0,0,0,20260302,20260323
IDFM:TN:49534109,0,0,0,0,0,0,1,20260301,20260322
IDFM:TN:49534393,0,0,0,1,1,0,0,20260226,20260227
IDFM:TN:49534554,1,0,0,0,0,0,1,20260301,20260323
IDFM:TN:49534567,1,0,0,0,0,0,0,20260302,20260323
IDFM:TN:49534974,1,1,0,0,1,0,0,20260309,20260324
IDFM:TN:49535099,0,1,1,1,0,0,0,20260310,20260312
IDFM:TN:49535107,0,1,1,1,1,1,0,20260310,20260324
IDFM:TN:49535564,0,0,1,0,0,0,0,20260225,20260306
IDFM:TN:49535631,0,0,0,0,0,1,1,20260301,20260315
IDFM:TN:49535633,1,0,0,0,0,0,1,20260302,20260316
IDFM:TN:49536248,0,0,0,0,0,0,1,20260301,20260308
IDFM:TN:49536295,0,0,1,1,1,1,0,20260225,20260307
IDFM:TN:49536705,0,1,1,1,1,0,0,20260310,20260324
IDFM:TN:49536856,1,1,1,1,1,1,1,20260225,20260324
IDFM:TN:49537116,1,1,1,1,0,0,0,20260309,20260324
IDFM:TN:49537168,1,1,0,0,0,0,0,20260309,20260324
