from_stop_id,to_stop_id,transfer_type,min_transfer_time
IDFM:471881,IDFM:36266,2,43
IDFM:474060,IDFM:474056,2,25
IDFM:463008,IDFM:21952,2,304
IDFM:42046,IDFM:monomodalStopPlace:43179,2,241
IDFM:463257,IDFM:22078,2,57
IDFM:471139,IDFM:monomodalStopPlace:473332,2,128
IDFM:472411,IDFM:470637,2,12
IDFM:monomodalStopPlace:473463,IDFM:470895,2,189
IDFM:470728,IDFM:22119,2,341
IDFM:471445,IDFM:16329,2,72
IDFM:monomodalStopPlace:473505,IDFM:471787,2,93
IDFM:472655,IDFM:472036,2,380
IDFM:462969,IDFM:21963,2,207
IDFM:471552,IDFM:471567,2,72
IDFM:monomodalStopPlace:45850,IDFM:monomodalStopPlace:473325,2,109
IDFM:471194,IDFM:471698,2,15
IDFM:monomodalStopPlace:47130,IDFM:472062,2,34
IDFM:463189,IDFM:462969,2,289
IDFM:462970,IDFM:471063,2,303
IDFM:472235,IDFM:monomodalStopPlace:473171,2,47
IDFM:36431,IDFM:monomodalStopPlace:473288,2,30
IDFM:473025,IDFM:monomodalStopPlace:470535,2,59
IDFM:472215,IDFM:471529,2,8
IDFM:monomodalStopPlace:470195,IDFM:470751,2,188
IDFM:470674,IDFM:472013,2,34
IDFM:472590,IDFM:471292,2,48
IDFM:471917,IDFM:472814,2,166
IDFM:41519,IDFM:472624,2,122
IDFM:480531,IDFM:471557,2,252
IDFM:monomodalStopPlace:473290,IDFM:471297,2,126
IDFM:472175,IDFM:monomodalStopPlace:43151,2,26
IDFM:22007,IDFM:470704,2,380
IDFM:473981,IDFM:monomodalStopPlace:44493,2,18
IDFM:monomodalStopPlace:43222,IDFM:471491,2,27
IDFM:472869,IDFM:472692,2,9
IDFM:monomodalStopPlace:45873,IDFM:monomodalStopPlace:58718,2,300
IDFM:monomodalStopPlace:47184,IDFM:41685,2,279
IDFM:monomodalStopPlace:46647,IDFM:473025,2,192
IDFM:472724,IDFM:21981,2,361
IDFM:471454,IDFM:monomodalStopPlace:473350,2,165
IDFM:monomodalStopPlace:473101,IDFM:470977,2,178
IDFM:monomodalStopPlace:473159,IDFM:472457,2,31
IDFM:471272,IDFM:462970,2,304
IDFM:22391,IDFM:463106,2,349
IDFM:472984,IDFM:471372,2,12
IDFM:471917,IDFM:471968,2,254
IDFM:471561,IDFM:monomodalStopPlace:50672,2,351
IDFM:471559,IDFM:472523,2,206
IDFM:monomodalStopPlace:411378,IDFM:472854,2,5
