route_id,schedule_id,source_name,origin,destination,origin_country,destination_country,distance_km,duration_min,duration_minutes,duration_hours,avg_speed_kmh,is_international,train_type,weekly_frequency,estimated_co2_saving_kg,substitution_potential
back_on_track_CFR IC 473,back_on_track_CFR IC 473,back_on_track,Budapest-Keleti,București Nord,HU,RO,870.0,985.0,985.0,16.417,52.99,True,night,7,130.5,faible_potentiel
back_on_track_CFR R 4116,back_on_track_CFR R 4116,back_on_track,Sighetu Marmației,București Nord,RO,RO,606.0,912.0,912.0,15.2,39.87,False,night,7,90.9,faible_potentiel
back_on_track_CFR 1641/R 4112,back_on_track_CFR 1641/R 4112,back_on_track,București Nord,Sighetu Marmației,RO,RO,606.0,779.0,779.0,12.983,46.68,False,night,7,90.9,faible_potentiel
back_on_track_CFR R-E 4007/1642,back_on_track_CFR R-E 4007/1642,back_on_track,Bistrița Nord,București Nord,RO,RO,451.0,535.0,535.0,8.917,50.58,False,night,7,67.65,potentiel_moyen
back_on_track_CFR 1641/R-E 4008,back_on_track_CFR 1641/R-E 4008,back_on_track,București Nord,Bistrița Nord,RO,RO,451.0,534.0,534.0,8.9,50.67,False,night,7,67.65,potentiel_moyen
back_on_track_CFR 1641 (CN),back_on_track_CFR 1641 (CN),back_on_track,București Nord,Cluj-Napoca,RO,RO,493.0,599.0,599.0,9.983,49.38,False,night,7,73.95,potentiel_moyen
back_on_track_CFR 1642 (CN),back_on_track_CFR 1642 (CN),back_on_track,Cluj-Napoca,București Nord,RO,RO,493.0,617.0,617.0,10.283,47.94,False,night,7,73.95,potentiel_moyen
back_on_track_CFR 1641 (SM),back_on_track_CFR 1641 (SM),back_on_track,București Nord,Satu Mare,RO,RO,758.0,818.0,818.0,13.633,55.6,False,night,7,113.7,faible_potentiel
back_on_track_CFR 1642 (SM),back_on_track_CFR 1642 (SM),back_on_track,Satu Mare,București Nord,RO,RO,758.0,840.0,840.0,14.0,54.14,False,night,7,113.7,faible_potentiel
back_on_track_CFR 1653,back_on_track_CFR 1653,back_on_track,București Nord,Vatra Dornei Băi,RO,RO,606.0,539.0,539.0,8.983,67.46,False,night,7,90.9,potentiel_moyen
back_on_track_CFR 1654,back_on_track_CFR 1654,back_on_track,Vatra Dornei Băi,București Nord,RO,RO,606.0,568.0,568.0,9.467,64.01,False,night,7,90.9,potentiel_moyen
back_on_track_CFR 1667,back_on_track_CFR 1667,back_on_track,București Nord,Iași,RO,RO,405.0,396.0,396.0,6.6,61.36,False,night,7,60.75,potentiel_moyen
back_on_track_CFR 1668,back_on_track_CFR 1668,back_on_track,Iași,București Nord,RO,RO,405.0,403.0,403.0,6.717,60.3,False,night,7,60.75,potentiel_moyen
back_on_track_CFR 78/1743,back_on_track_CFR 78/1743,back_on_track,București Nord,Oradea,RO,RO,711.0,890.0,890.0,14.833,47.93,False,night,7,106.65,faible_potentiel
back_on_track_CFR 1744/79,back_on_track_CFR 1744/79,back_on_track,Oradea,București Nord,RO,RO,711.0,878.0,878.0,14.633,48.59,False,night,7,106.65,faible_potentiel
